"Standing","Player","Points","Opp. Win %","Decklist"
"1","Brandon Lucia","20 points","26.67%","https://www.moxfield.com/decks/UfRMtqJKU0yjz8huOqNOgA"
"2","Guus the Goose","17 points","23.81%","https://www.moxfield.com/decks/ZiflpjHO8E-6jQFn_1tabQ"
"3","Ian Flannery","17 points","20.95%","https://www.moxfield.com/decks/OaGq6tkEpkK-tYehn7E01g"
"4","Ignasi Ibáñez Martí","16 points","22.86%","https://www.moxfield.com/decks/7O1sCuIti0igU6Us_Jhadg"
"5","Vincent aprano","16 points","21.9%","https://www.moxfield.com/decks/QpkKBAxRcUq0czFNsJJZWg"
"6","Connor Ritchotte","15 points","26.67%","https://www.moxfield.com/decks/Yg22hBgzHEmQXsIM6bT6yQ"
"7","Nick Kalte","15 points","22.86%","https://www.moxfield.com/decks/nBcCh1EqMk-oAShV0ywAyQ"
"8","Ami","15 points","21.9%","https://www.moxfield.com/decks/h88PHcfIDEG7rsq3WXTeUg"
"9","Mitchell Stephenson","15 points","20.95%","https://www.moxfield.com/decks/Rb-kbNxmWESWdRk7pGhweQ"
"10","Chris Oliver-Conroy","12 points","26.67%","https://www.moxfield.com/decks/tF0NAbnfIkyeOQGsgpqPsA"
"11","Tony Parks","12 points","20%","https://www.moxfield.com/decks/h2uxyCc2iEK915R0AW3tSw"
"12","Takato Mitsuda","12 points","13.33%","https://www.moxfield.com/decks/zHocFJxZb0uruHtZhbitrw"
"13","Lauri Lannetta","11 points","26.67%","https://www.moxfield.com/decks/keuksVHHp0e6QHCNXEpOwQ"
"14","Daniel Graft","11 points","24.76%","https://www.moxfield.com/decks/BXY4WFzBZEK9QBXOe1UJlw"
"15","Kevin Simmons","11 points","21.9%","https://www.moxfield.com/decks/56EFYHSKA0OY6q2nIs2OJw"
"16","John Addleman","11 points","20.95%","https://www.moxfield.com/decks/ntNtsDZrbE-6hGhKJrUKcA"
"17","Jacob Leatherwood","11 points","17.14%","https://www.moxfield.com/decks/C1fqZQp9UkSWiDbgAAkMHQ"
"18","Ahmad Kanawati","11 points","15.24%","https://www.moxfield.com/decks/uzo6QzrXakWQczHYcOSJsg"
"19","Jack Hollant","11 points","15.24%","https://www.moxfield.com/decks/jjGTbn_KKkC6QZMkz73DYA"
"20","Erik Svensson","11 points","11.43%","https://www.moxfield.com/decks/n2-MOsgth0iKe4pKrwbxRw"
"21","Maxime Trudel","10 points","20.95%","https://www.moxfield.com/decks/t0RofsNnUEGi_nZYvur2Jg"
"22","Israel Suarez","10 points","20.95%","https://www.moxfield.com/decks/lpwAR1WAEEOcdquQoHED7Q"
"23","daniel brown","10 points","20.95%","https://www.moxfield.com/decks/bpziJEc4oEewF_ewYBkzrg"
"24","Fonzie Ruiz","10 points","17.14%","https://www.moxfield.com/decks/HYT9YcG0bEK1UMvmEEXtTA"
"25","James Kennerly","10 points","17.14%","https://www.moxfield.com/decks/vcpCc0uNk0-QwRwqr5XzBw"
"26","jayden osinchuk","10 points","16.19%","https://www.moxfield.com/decks/w5cRxsOr3Uu4Uie4Z_FYHw"
"27","Avi Rosen","10 points","16.19%","https://www.moxfield.com/decks/EmsYGX1mpUu_6mQx1ub0dA"
"28","Tanner Reeb","10 points","15.24%","https://www.moxfield.com/decks/RjHB7lq1gEG3ycFMM1tzqg"
"29","Alexander Rice","10 points","7.62%","https://www.moxfield.com/decks/8W6rxWnuU0Sn0WMcYDK_5g"
"30","Martin Hansen","7 points","17.14%","https://www.moxfield.com/decks/nG8HE2dSQUKgQx6_KhheXg"
"31","Anis Ali","7 points","16.19%","https://www.moxfield.com/decks/fCuq0KtmekCxQW-1Wh7PDQ"
"32","Reid","7 points","12.38%","https://www.moxfield.com/decks/uL3_-xj0f0iOM_gfeVpunw"
"33","Sander Molendijk","6 points","20.95%","https://www.moxfield.com/decks/QEVF_NgT2U2yIvjtC7iiMg"
"34","Aric Rhodes","6 points","19.05%","https://www.moxfield.com/decks/W64JAF9qpkCiXN6cqRa3NQ"
"35","Alessio Zela","6 points","18.1%","https://www.moxfield.com/decks/6tvibU2lDUaJ0Z1IcQYhVw"
"36","Cameron Cashman","6 points","17.14%","https://www.moxfield.com/decks/2kzefAhwgUegFQGxd1LVfQ"
"37","Kevin Pyfferoen","6 points","16.19%","https://www.moxfield.com/decks/H4_1o--jMUuBHX9otyQ6AA"
"38","Patrick","6 points","16.19%","https://www.moxfield.com/decks/WPZJ7823b0m8UgGruIygSw"
"39","Leopoldo ojeda","6 points","15.24%","https://www.moxfield.com/decks/ML-p8GJuQUCKoh6B2DKVdA"
"40","Dakota Brown","6 points","14.29%","https://www.moxfield.com/decks/z52WQwDEnUiQca_G3-XvPg"
"41","Jon Laslett","6 points","14.29%","https://www.moxfield.com/decks/8-GwMaO97EyFJEcnRmh8mQ"
"42","Matias dos Santos Campos de Jesus","6 points","13.33%","https://www.moxfield.com/decks/KobhUgkhaU-1hIY8kXeg-w"
"43","Bart Camies","6 points","13.33%","https://www.moxfield.com/decks/AXw0tlClKUigxEo7ey62Kw"
"44","Nick Genovese","6 points","13.33%","https://www.moxfield.com/decks/Mv26KVxSkU2-HKrc_d4lsw"
"45","Drew David Zimmerman","6 points","13.33%","https://www.moxfield.com/decks/tYml_-b3yECDIE6KPflL9w"
"46","Elias Moore","6 points","12.38%","https://www.moxfield.com/decks/4Yg34CdbCE-t8nRk_yLWZQ"
"47","Isaias J Dominguez","6 points","10.48%","https://www.moxfield.com/decks/yA_HeUUdAUW3aZdTMPi7nA"
"48","Priscilla Kwortnik","6 points","7.62%","https://www.moxfield.com/decks/lw8AbvV2kEW7ztnY5milCQ"
"49","Jared Dobbyn","6 points","17.86%","https://www.moxfield.com/decks/ZF4JIDLZBkmZYzHpLtZdiQ"
"50","Loran Johansson","6 points","16.67%","https://www.moxfield.com/decks/cGyyeY9F3EKha8-ohD9XQg"
"51","Blake Novy","6 points","13.1%","https://www.moxfield.com/decks/M5B5LdkUKUeiv0ZvUB0P5w"
"52","Justin Hewitt","5 points","11.43%","https://www.moxfield.com/decks/BLYwCf3v9Uam84PPJglk1Q"
"53","Michael Wentz","5 points","10.48%","https://www.moxfield.com/decks/GMzHx5cnn0SXlzGVQTzJ_Q"
"54","Cameron Tyler","5 points","9.52%","https://www.moxfield.com/decks/EkKe9J3QCEy2m5AAFF6SMQ"
"55","Jesse Padilla","5 points","8.57%","https://www.moxfield.com/decks/XFunwTCfqEWuuW-E9JizJw"
"56","Logan Charles Gibson","5 points","6.67%","https://www.moxfield.com/decks/V8jlPhltHkSdmmJoQTcNbA"
"57","John Paul Brown","5 points","30.95%","https://www.moxfield.com/decks/xK4F-GKGzUWCgFjeUIkgGA"
"58","Adriaan Lagerwaard","5 points","11.9%","https://www.moxfield.com/decks/iCE9qGyBrEmbVpYIQ0L3VQ"
"59","andrew robey","5 points","9.52%","https://www.moxfield.com/decks/wpfB0T2ygkuQ-wUpxE_lbg"
"60","quan pham","5 points","9.09%","https://www.moxfield.com/decks/zbASCUFAVU-IMjIt3yY3sQ"
"61","Matija Radivoj-Dlakić","2 points","9.52%","https://www.moxfield.com/decks/XI_6Ub0zVE6EXjXmpUnt2w"
"62","Justin Harrell","2 points","6.67%","https://www.moxfield.com/decks/q1hH0Hu0dkeeC_BpbO8AHg"
"63","Ehssan Karimi","1 points","13.33%","https://www.moxfield.com/decks/zfuuiXFGY0m0QEbvC7a2-Q"
"64","Natanis Neptune","1 points","12.38%","https://www.moxfield.com/decks/UHoHVSJ-GUuSDxOkmAtf3A"
"65","Luke Trenberth","1 points","10.48%","https://www.moxfield.com/decks/rvBf7MgL2kKuthmyDS9S4w"
"66","Andrew Bos","1 points","8.57%","https://www.moxfield.com/decks/400NPEOCMUSrWybu_JK4bg"
"67","Marcos Alberto Vasquez Nuñez","1 points","8.16%","https://www.moxfield.com/decks/wb8kdZJFv0Cf-RMFJ2ok4Q"
"68","Tyler Pidde","0 points","9.18%","https://www.moxfield.com/decks/3wQeqJCGJkOlafgt_5fv8Q"
"69","David Levering","0 points","9.18%","https://www.moxfield.com/decks/mVkxtVSysEeNx8LNL2Ie1w"
"70","Gabriel Estévez","0 points","8.16%","https://www.moxfield.com/decks/XKZIASYhW0miqaf1TGJiyA"
"71","Robby Burnett","0 points","4.76%","https://www.moxfield.com/decks/hsE1v13mvkCKuNbnMeJt2Q"
"72","Florian Schwing","7 points","11.9%","https://www.moxfield.com/decks/htr8PGP8M0-CY0SlUuxKlQ"
"73","Emanuel Diaz","6 points","16.67%","https://www.moxfield.com/decks/HEgCcC0F8UmpagwyeXWmWA"
"74","Dylan O'rois Bolt","6 points","15.87%","https://www.moxfield.com/decks/j5hzdKcBzUeIkwHiUSAoTg"
"75","James Cody Halley","6 points","15.48%","https://www.moxfield.com/decks/QIsmYFweRkuiDIw09dnbFw"
"76","Whipsaw","6 points","14.29%","https://www.moxfield.com/decks/Z3RTn2O5Y0qHct9aeIYR_w"
"77","Scott","6 points","14.29%","https://www.moxfield.com/decks/jN-5AXe7nUiEqmLcsfoGVg"
"78","Elias Medrano","6 points","13.1%","https://www.moxfield.com/decks/p7PJzXqaeE20W9pJf1cnIQ"
"79","Brian Croce","6 points","13.1%","https://www.moxfield.com/decks/a6YTyHFELUa_voD6CWVeGA"
"80","Dante Barbetti","5 points","25%","https://www.moxfield.com/decks/YVMC2DpUNEuCtkDPUuD1Tg"
"81","Peter Eremeev","5 points","25%","https://www.moxfield.com/decks/Y9if_Sm8MEiJXwWWViXQ1A"
"82","Uriah Beltz","5 points","16.67%","https://www.moxfield.com/decks/THj3f0FbYEq4fKLdQrX1tg"
"83","Randy Propper","5 points","13.1%","https://www.moxfield.com/decks/Ju5CBrI9XUabFpwmA92tXw"
"84","Al Ralston","5 points","13.1%","https://www.moxfield.com/decks/PbP3ZvpaBkazsJcPoOLcTw"
"85","Jack Hartweg","5 points","13.1%","https://www.moxfield.com/decks/c5FI6FC3yEiEvUi1AbW55g"
"86","Alex Fraser","5 points","12.7%","https://www.moxfield.com/decks/3XFuOTNrzUOR1y1GkxDY7Q"
"87","Ryan Crites","5 points","11.9%","https://www.moxfield.com/decks/XYZ9pDU5ZESbZAKokXYYxA"
"88","Thorne Garvin","5 points","11.9%","https://www.moxfield.com/decks/RJ9MB3ThrEqetz48EyipxA"
"89","Anthony Victor Barbetti","5 points","11.9%","https://www.moxfield.com/decks/L8N_ilzOs0m6hKgdCSGUeA"
"90","Nicholas Tatum","5 points","10.71%","https://www.moxfield.com/decks/OOGBwHzyuUyWWv0WDDGuFA"
"91","Sean Nessinger","5 points","21.43%","https://www.moxfield.com/decks/hixz49iE7U2PEN2rh-HHUg"
"92","Eric P Vargo Jr.","5 points","17.46%","https://www.moxfield.com/decks/WLOjqOmQOEmq7ttOvW_M8g"
"93","Flavio Vinicius Araujo Reis","5 points","14.29%","https://www.moxfield.com/decks/kavAIBJdyUKrdlQGQWl5OA"
"94","Alana Kecskes","1 points","14.29%","https://www.moxfield.com/decks/8vb-2YoNjEOijKAdmC_7FQ"
"95","Craig Reynolds Griffin III","1 points","14.29%","https://www.moxfield.com/decks/_WCqwbnqF06jAdhAXB39CA"
"96","Charlie Creten","1 points","13.1%","https://www.moxfield.com/decks/RLR7en1xY0GZw1F6ls9utQ"
"97","matthew rodriguez","1 points","12.7%","https://www.moxfield.com/decks/32lzurQZ9E-YWzv-zVqcXw"
"98","Georgios Salteris","1 points","12.7%","https://www.moxfield.com/decks/OKoPGq616UqBk5OYTB4kyg"
"99","Connor Costello","1 points","11.11%","https://www.moxfield.com/decks/pZzFNbY8XUKugWcAIQq3tQ"
"100","Jeriko Ayuyu","1 points","10.71%","https://www.moxfield.com/decks/BzvLla8tXU2MOuI7Tppr7g"
"101","Nicholas Hammond","1 points","9.52%","https://www.moxfield.com/decks/Btosngl2mUaIPixDLCfqAw"
"102","Jan Wegner","1 points","8.33%","https://www.moxfield.com/decks/wRvNxzN78UORfrnWgyGFGw"
"103","André Felipe Rodrigues de Oliveira","1 points","8.33%","https://www.moxfield.com/decks/Sw30xgTNa0Wrm5N6cORkXg"
"104","Cory Daniel","1 points","8.33%","https://www.moxfield.com/decks/dmDi1tVxH0iKxXtpaxu2EQ"
"105","Clayton August Hendry","1 points","7.14%","https://www.moxfield.com/decks/4Eh0P-kW4kSSS3hYp7z8_A"
"106","Nicola Daniel Graham","0 points","17.46%","https://www.moxfield.com/decks/3E8yQMK-OESGAsYsOTfAfQ"
"107","kidwhosucks","0 points","15.87%","https://www.moxfield.com/decks/j9heTbABXE69SAFT0kDduw"
"108","Casey Fisher","0 points","14.29%","https://www.moxfield.com/decks/KDiqHHVvxUygDenucaQbMw"
"109","Davis Tinkle","0 points","14.29%","https://www.moxfield.com/decks/MBwPtr-J4EG4TGC51iFRTw"
"110","Giacomo Ferrari","0 points","13.1%","https://www.moxfield.com/decks/Sp2yiTpekEat37P8JcTPpQ"
"111","Dillon Dyne","0 points","12.7%","https://www.moxfield.com/decks/sov6gjky4E6Qhjkurj0kMw"
"112","Michael Martell Streva","0 points","11.9%","https://www.moxfield.com/decks/SdPxatpTFE671wRjRIgU1Q"
"113","Cody McCraw","0 points","11.9%","https://www.moxfield.com/decks/xokx2gPt6U-yLreT4UfnfQ"
"114","Zae Sullivan","0 points","9.52%","https://www.moxfield.com/decks/sAaAC4hS8UiTQcmP0diPNQ"
"115","Steven Propper","0 points","9.52%","https://www.moxfield.com/decks/7bnq4dFSoUOa_-DnxyztZw"
"116","Justin Wunderlich","0 points","9.52%","https://www.moxfield.com/decks/SBrlxMQyJ0uuc7TxiIfrfw"
"117","jonathan mcclymondsq","0 points","9.52%","https://www.moxfield.com/decks/Wwpz17NCpUu7lEdagDIq2g"
"118","Griffin Dutson","0 points","7.94%","https://www.moxfield.com/decks/Ae12tQoMY0qjN709LxJM0A"
"119","Adam Hamdan","0 points","7.94%","https://www.moxfield.com/decks/yE49ZFMzVEqt7uOwpadeFw"
"120","Luke Fendley","0 points","7.14%","https://www.moxfield.com/decks/le9_Xe2TEEGtEvLVuveBZg"
"121","Peter Neise","0 points","6.35%","https://www.moxfield.com/decks/LMoXdE6LtUSHDukNGz_-wA"
"122","Dave vandewark","0 points","4.76%","https://www.moxfield.com/decks/VoR75dPsS0m0Alf_7pEBJg"
"123","Mary Williams","0 points","2.38%","https://www.moxfield.com/decks/8zbQtM-cL0CLkDA1hfaR0A"
"124","Ian Evans Ottinger","0 points","0%",""
"125","Bradley Bunce","0 points","0%",""
"126","Jordan Garcia","0 points","0%","https://www.moxfield.com/decks/HcX5CnvxPEquJ0MIyh_upw"
"127","John Thorburn","0 points","0%",""
