entryUuid,cardUuid
2078a12d-6ac7-4849-84aa-147341497128,8ce1b63e-f755-47f3-92c4-14e4d3f7d21d
2078a12d-6ac7-4849-84aa-147341497128,9bf6b881-f0f7-4a04-9db4-8e470ec26cf7
2078a12d-6ac7-4849-84aa-147341497128,c806c876-5b25-444c-94b9-4202b1e1c299
2078a12d-6ac7-4849-84aa-147341497128,80542937-c341-4aab-a1a2-52deb22498eb
2078a12d-6ac7-4849-84aa-147341497128,6bd20db0-19ef-4fe1-b446-383f414f8288
2078a12d-6ac7-4849-84aa-147341497128,d8bec3e6-e66a-437d-ad66-07ef9665da15
2078a12d-6ac7-4849-84aa-147341497128,abb81e22-1e83-45f7-b9fc-373ca0fdeb2f
2078a12d-6ac7-4849-84aa-147341497128,aa88f75a-1123-4863-a400-23b120c75e52
2078a12d-6ac7-4849-84aa-147341497128,1df70ad6-10bb-4548-9365-339d102f9bcf
2078a12d-6ac7-4849-84aa-147341497128,a639c89f-864a-42a5-a3a8-4866633dc7b0
2078a12d-6ac7-4849-84aa-147341497128,6f39474c-e3f8-4e72-bbc9-d043bbf77cf5
2078a12d-6ac7-4849-84aa-147341497128,ef680876-1e4e-4150-b6cf-778070fa7318
2078a12d-6ac7-4849-84aa-147341497128,d4ffe943-4ace-4f9f-b80e-de4d5843bdef
2078a12d-6ac7-4849-84aa-147341497128,dab9a942-36c7-4c52-9b77-01b875f501b4
2078a12d-6ac7-4849-84aa-147341497128,c1fb1dab-200f-41dc-98de-e38d27fc7543
2078a12d-6ac7-4849-84aa-147341497128,5d80f55c-dd30-4349-a8b9-8ae4eb18a847
2078a12d-6ac7-4849-84aa-147341497128,fa9c2476-9bb3-4aeb-8759-df5a74e12a4d
2078a12d-6ac7-4849-84aa-147341497128,e126558d-614e-4639-b36b-66b7626a1111
2078a12d-6ac7-4849-84aa-147341497128,2c56490d-fa8f-4256-8ee9-25572391e3d0
2078a12d-6ac7-4849-84aa-147341497128,462dedf9-8992-4faf-acb9-d039d01d7b7a
2078a12d-6ac7-4849-84aa-147341497128,c3dc15aa-21c5-4e13-958c-f41969ef3f20
2078a12d-6ac7-4849-84aa-147341497128,d85b4146-4a97-401f-9213-46418623de6c
2078a12d-6ac7-4849-84aa-147341497128,265b89ec-38e2-4dae-927b-2b8062aaa3a9
2078a12d-6ac7-4849-84aa-147341497128,aed000ce-ebec-469d-82d2-d5521083fc5e
2078a12d-6ac7-4849-84aa-147341497128,a6630524-18b2-4340-826c-cec3d87e3ffe
2078a12d-6ac7-4849-84aa-147341497128,869d41d6-1670-449f-ae3b-7de8466f26fa
2078a12d-6ac7-4849-84aa-147341497128,8e627d54-f546-4546-acc3-678837d8dff0
2078a12d-6ac7-4849-84aa-147341497128,4b735a96-f254-4247-bd55-434efbc28ebc
2078a12d-6ac7-4849-84aa-147341497128,9597a2bd-377e-41e4-9325-69d50419b185
2078a12d-6ac7-4849-84aa-147341497128,f92056af-d8ed-4ec3-9d5d-2a2dd14ceccf
2078a12d-6ac7-4849-84aa-147341497128,1d185f5a-e501-43ca-8f84-6438809cac1e
2078a12d-6ac7-4849-84aa-147341497128,2cb412f1-7a1c-4a33-a8a3-fec18a0f2df1
2078a12d-6ac7-4849-84aa-147341497128,15a90b38-b100-4e94-884d-07f1ee9b4db2
2078a12d-6ac7-4849-84aa-147341497128,23d8b6e9-2242-4c09-a01a-3ed3f238723e
2078a12d-6ac7-4849-84aa-147341497128,4097c1ec-38e5-4283-aa59-850e69f512b5
2078a12d-6ac7-4849-84aa-147341497128,09c3f6e8-facd-4aea-bc95-e10df389dda6
2078a12d-6ac7-4849-84aa-147341497128,71afafba-a4a0-4bcc-ad0a-bea708d70caf
2078a12d-6ac7-4849-84aa-147341497128,949a9e8d-cb4b-4f15-9042-ad576f40ecb9
2078a12d-6ac7-4849-84aa-147341497128,7759af37-ea61-4e86-8e3e-764f3592ba70
2078a12d-6ac7-4849-84aa-147341497128,8af2744d-9b57-472d-b588-f7c2a3eac917
2078a12d-6ac7-4849-84aa-147341497128,82dce685-a7d7-47d2-98d3-ea50002916fc
2078a12d-6ac7-4849-84aa-147341497128,93e6d1f5-275d-4aa6-8f4a-79a00427aad9
2078a12d-6ac7-4849-84aa-147341497128,db09efca-2e19-44d8-bf7c-79854422d7e1
2078a12d-6ac7-4849-84aa-147341497128,f518038e-ffb7-473e-9824-db19843b9104
2078a12d-6ac7-4849-84aa-147341497128,244f13a7-4c04-459b-8403-233be1b3be2e
2078a12d-6ac7-4849-84aa-147341497128,5dec04e3-261e-4a8f-a88c-b9181bf08c90
